smiles,PCE
c1[SiH2]c(cc1)-c1sc(-c2ncc(-c3ccco3)c3nsnc23)c2cc[SiH2]c12,11.086613
c1ccc(s1)-c1ncc(-c2ccc(nc2)-c2scc3sccc23)c2nsnc12,11.078597
[nH]1c(ccc1-c1cncc2nsnc12)-c1ccc(nc1)-c1scc2nccnc12,11.057513
[nH]1cccc1-c1ncc(-c2ccc(s2)-c2cncs2)c2nsnc12,11.056
[nH]1c(ccc1-c1cccc2nsnc12)-c1cnc(s1)-c1nccc2nsnc12,11.045994
c1cc2c3cscc3c3c4ncc(cc4c4cocc4c3c2[se]1)-c1nccc2nsnc12,11.02478
c1sc(-c2cc3oc4c(c3cn2)c2nsnc2c2ccc3=C[SiH2]C=c3c42)c2occc12,11.02463
[nH]1c(cc2sc3c(c4nsnc4c4ccc5ccccc5c34)c12)-c1cncc2nsnc12,11.021954
[nH]1cccc1-c1cnc(-c2sc(-c3cccc4ccccc34)c3cc[SiH2]c23)c2nsnc12,11.021585
c1cc2c(cn1)c1c3cscc3c3cc(cnc3c1c1=CCC=c21)-c1cncc2nsnc12,11.012176
c1ncc(s1)-c1sc(c2Cccc12)-c1ncc(-c2cccc3cocc23)c2nsnc12,11.00692
[nH]1c2cc(C3=CC=C[SiH2]3)c3nsnc3c2c2c3nsnc3c3ccc4=C[SiH2]C=c4c3c12,11.003978
c1cc2c(cn1)c1oc3C=C([SiH2]c3c1c1=CCC=c21)c1nccc2nsnc12,11.002148
c1sc(-c2ccc(cn2)-c2ncc(-c3scc4sccc34)c3nsnc23)c2occc12,11.001715
c1cc2[se]c3c4oc(cc4c4nsnc4c3c2c2cscc12)-c1nccc2nsnc12,10.999372
c1cc2c(c3sc(cc3c3=C[SiH2]C=c23)-c2cncc3nsnc23)c2ccccc12,10.943597
c1sc(-c2cnc(-c3ccc(cn3)-c3scc4nccnc34)c3nsnc23)c2sccc12,10.873367
c1ccc(s1)-c1ccc(-c2ncc(-c3scc4ccsc34)c3nsnc23)c2nsnc12,10.83162
c1sc(c2[SiH2]ccc12)-c1sc(-c2ccc(cn2)-c2cncc3nsnc23)c2ccsc12,10.797413
c1ccc(-c2cc3c4nsnc4c4c(c5nsnc5c5ccc6nsnc6c45)c3o2)c2cscc12,10.777526
[nH]1c(cc2ccc3c(c4c[nH]cc4c4ccc5nsnc5c34)c12)-c1cncc2nsnc12,10.717714
[nH]1c-2c([SiH2]c3cc(-c4cccs4)c4nsnc4c-23)c2cnccc12,10.694093
c1ncc(s1)-c1cnc(s1)-c1ccc(-c2scc3nccnc23)c2c[SiH2]cc12,10.621891
c1ccc(cc1)-c1[SiH2]c(cc1)-c1ccc([se]1)-c1nccc2nsnc12,10.580827
c1sc(-c2ccc(s2)-c2ncc(-c3cccc4nsnc34)c3nsnc23)c2sccc12,10.573946
c1cnc(C2=Cc3oc4ccc5=C[SiH2]C=c5c4c3[SiH2]2)c2nsnc12,10.529619
c1ccc(C2=Cc3oc4c(cnc5ccc6=C[SiH2]C=c6c45)c3[SiH2]2)c2nsnc12,10.481451
c1[SiH2]c(cc1)-c1ccc(-c2sc(-c3nccs3)c3cc[SiH2]c23)c2nsnc12,10.418739
c1ncc(-c2cnc3c(c2)[se]c2c3ccc3ccc4=C[SiH2]C=c4c23)c2nsnc12,10.37621
c1[SiH2]c(cc1)-c1ccc(nc1)-c1[SiH2]c(cc1)-c1cncc2nsnc12,10.333126
c1cc2c3nsnc3c3cc4cc(-c5nccc6nsnc56)c5cocc5c4cc3c2s1,10.300899
c1cc2ncc3c4CC(=Cc4c4ccccc4c3c2c2cocc12)c1cncc2nsnc12,10.279323
c1sc(-c2ccc(-c3ccc(s3)-c3cncc4nsnc34)c3c[SiH2]cc23)c2[se]ccc12,10.244774
[SiH2]1C=Cc2c1c1c3nsnc3c3cc(ccc3c1c1cscc21)-c1nccc2nsnc12,10.209795
c1[SiH2]c(cc1)-c1ncc(-c2ccc(-c3ccc[se]3)c3cscc23)c2nsnc12,10.183108
c1sc(-c2ncc(-c3ncc(s3)-c3ccccn3)c3nsnc23)c2occc12,10.154626
[nH]1ccc2[SiH2]c3c4CC(=Cc4ncc3-c12)c1cncc2nsnc12,10.132776
c1[SiH2]c(cc1)-c1cnc(-c2ccc(cc2)-c2scc3ccoc23)c2nsnc12,10.104013
c1cc2c3nsnc3c3c(oc4cc(-c5cncc6nsnc56)c5=C[SiH2]C=c5c34)c2[se]1,10.087444
c1cnc(C2=Cc3cnc4c(ccc5ccc6ccccc6c45)c3C2)c2nsnc12,10.083337
c1cnc(s1)-c1sc(-c2ccc(-c3cccc4nsnc34)c3c[SiH2]cc23)c2nccnc12,10.046653
c1cc2c3nsnc3c3c4[se]c(cc4c4=C[SiH2]C=c4c3c2s1)-c1ccccn1,10.043725
c1cc2c(o1)c1ncc3cc(-c4nccc5nsnc45)c4nsnc4c3c1c1=C[SiH2]C=c21,10.009602
c1cc2ncc(cc2[se]1)-c1cc2c3nsnc3ccc2c2=C[SiH2]C=c12,9.952851
c1sc(-c2cc3c4cocc4c4c(c5nsnc5c5ccc6nsnc6c45)c3o2)c2C=C[SiH2]c12,9.932828
c1ncc(-c2cnc3c4oc5ccc6=C[SiH2]C=c6c5c4c4=CCC=c4c3c2)c2nsnc12,9.931023
c1ccc(cc1)-c1cnc(-c2sc(-c3cccc4cscc34)c3[se]ccc23)c2nsnc12,9.898845
